"id","name","description","expression","dimension","workspace","generated","is_template","template_id","active","created_by","last_approval_by","last_approval_status","last_approval_at","deleted_on","deleted_by","alias_mappings","reusable_join_id","dsl","taxonomy","data_steward","domain_owner","technical_owner"
"019e0488-9a55-78b1-ae57-dee1314d3f18","customer-account-consistency","Customer ID must link to valid account","customer_id IN (SELECT customer_id FROM accounts)","Consistency","retail-banking","false","true","","false","data-steward-user","approver-user","approved","2024-01-26T16:20:00Z","","","","retail-banking_customer_accounts","rules/019e0488-9a55-78b1-ae57-dee1314d3f18/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-72e9-b21a-e9714c3c4a1f","deposit-amount-valid","Deposit amount must be positive and non-null","deposit_amount > 0 AND deposit_amount IS NOT NULL","Completeness","retail-banking","false","true","","false","data-steward-user","","pending","2024-02-01T08:15:00Z","","","","","rules/019e0488-9a55-72e9-b21a-e9714c3c4a1f/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-739c-82db-0b6cba193285","email-format-validation","Customer email must follow valid email format","email RLIKE '^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\\.[a-zA-Z]{2,}$'","Validity","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-01-28T10:45:00Z","","","","","rules/019e0488-9a55-739c-82db-0b6cba193285/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7773-aaae-6b7c159526ef","phone-number-format","Phone number must be 10 digits","LENGTH(REGEXP_REPLACE(phone, '[^0-9]', '')) = 10","Validity","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-01-30T14:20:00Z","","","","","rules/019e0488-9a55-7773-aaae-6b7c159526ef/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7782-8a29-d7cc7c7b8d8a","account-type-valid","Account type must be one of approved values","account_type IN ('Checking', 'Savings', 'Money Market', 'CD')","Validity","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-02-02T09:30:00Z","","","","","rules/019e0488-9a55-7782-8a29-d7cc7c7b8d8a/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7696-8c22-7e3c2b3a6891","fraud-detection-high-transaction","Flag transactions exceeding average by 5x","amount > (SELECT AVG(amount)*5 FROM transactions WHERE customer_id = NEW.customer_id)","Accuracy","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-02-03T11:15:00Z","","","","","rules/019e0488-9a55-7696-8c22-7e3c2b3a6891/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7eed-a1f1-09cb0a870448","loan-payment-schedule-consistency","Loan payment dates must be during business days","DAYOFWEEK(payment_date) NOT IN (1, 7)","Consistency","retail-banking","false","true","","false","data-steward-user","","pending","2024-02-04T13:45:00Z","","","","","rules/019e0488-9a55-7eed-a1f1-09cb0a870448/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7c47-a8f0-67a454650dc9","card-expiration-valid","Card expiration date must be in future","expiration_date > CURDATE()","Timeliness","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-02-05T10:00:00Z","","","","","rules/019e0488-9a55-7c47-a8f0-67a454650dc9/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-78ba-9c10-15fd18619795","cardholder-name-not-null","Cardholder name cannot be empty or null","cardholder_name IS NOT NULL AND LENGTH(TRIM(cardholder_name)) > 0","Completeness","retail-banking","false","false","","true","data-steward-user","approver-user","approved","2024-02-06T15:30:00Z","","","","","rules/019e0488-9a55-78ba-9c10-15fd18619795/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-78ed-96cd-3017e9f18265","unique-account-number","Account numbers must be unique across system","COUNT(*) = 1 OVER (PARTITION BY account_number)","Uniqueness","retail-banking","false","true","","false","data-steward-user","","pending","2024-02-08T09:00:00Z","","","","","rules/019e0488-9a55-78ed-96cd-3017e9f18265/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7fb4-a050-9197a1b11713","employer-record-exists","Employer ID must exist in employer master table","employer_id IN (SELECT id FROM employers)","Consistency","retail-banking","false","true","","true","data-steward-user","approver-user","approved","2024-02-09T14:45:00Z","","","","","rules/019e0488-9a55-7fb4-a050-9197a1b11713/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7149-8e7f-04abd00f718f","transaction-fee-quantile-95","95th percentile of transaction fee must stay under 50000","P95(fee_amount) <= 50000","Validity","retail-banking","false","false","","true","data-steward-user","approver-user","approved","2026-04-20T09:00:00Z","","","","","rules/019e0488-9a55-7149-8e7f-04abd00f718f/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a56-7caa-b001-000000000008","customer-filtered-row-count","At least one customer in the seeded violation segment should be present","COUNT(*) FILTER (WHERE customer_segment = '__seeded_violation__') >= 1","Validity","retail-banking","false","false","","true","data-steward-user","approver-user","approved","2026-05-19T09:10:00Z","","","","","rules/019e0488-9a56-7caa-b001-000000000008/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a56-7caa-b001-000000000020","transaction-row-count-five","Transaction feed must contain exactly five rows","COUNT(*) BETWEEN 5 AND 5","Validity","retail-banking","true","false","","true","data-steward-user","approver-user","approved","2026-06-28T09:00:00Z","","","","","rule_versions/019e0488-9a56-7caa-b001-000000000021/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a56-7caa-b001-000000000022","transaction-total-amount-sum","Transaction total_amount must sum to 515","SUM(total_amount) BETWEEN 515 AND 515","Validity","retail-banking","true","false","","true","data-steward-user","approver-user","approved","2026-06-28T09:00:00Z","","","","","rule_versions/019e0488-9a56-7caa-b001-000000000023/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a56-7caa-b001-000000000024","transaction-total-amount-min","Transaction total_amount must have a minimum of 20","MIN(total_amount) BETWEEN 20 AND 20","Validity","retail-banking","true","false","","true","data-steward-user","approver-user","approved","2026-06-28T09:00:00Z","","","","","rule_versions/019e0488-9a56-7caa-b001-000000000025/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a56-7caa-b001-000000000026","transaction-total-amount-max","Transaction total_amount must have a maximum of 250","MAX(total_amount) BETWEEN 250 AND 250","Validity","retail-banking","true","false","","true","data-steward-user","approver-user","approved","2026-06-28T09:00:00Z","","","","","rule_versions/019e0488-9a56-7caa-b001-000000000027/dsl.json","","data-steward-user","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-754f-88dd-3b8ca315a4d8","seed-my-rules-view","Seed case: owned rule in current workspace","amount >= 0","Validity","retail-banking","false","false","","true","alice@jaccloud.nl","approver-user","approved","2026-03-26T09:00:00Z","","","","","rules/019e0488-9a55-754f-88dd-3b8ca315a4d8/dsl.json","","alice@jaccloud.nl","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7ba7-b65a-5ac1e55d151e","seed-team-rules-view","Seed case: team rule in current workspace","currency IS NOT NULL","Completeness","retail-banking","false","false","","true","bob@jaccloud.nl","approver-user","approved","2026-03-26T09:05:00Z","","","","","rules/019e0488-9a55-7ba7-b65a-5ac1e55d151e/dsl.json","","bob@jaccloud.nl","retail-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-7cf8-8b89-3f877e0555c7","seed-all-rules-view-cross-workspace","Seed case: rule defined elsewhere but using current workspace objects","total_amount > 0","Validity","corporate-banking","false","false","","true","charlie@jaccloud.nl","approver-user","approved","2026-03-26T09:10:00Z","","","","","rules/019e0488-9a55-7cf8-8b89-3f877e0555c7/dsl.json","","charlie@jaccloud.nl","corporate-admin@jaccloud.nl","dq-admin@jaccloud.nl"
"019e0488-9a55-71a1-977d-1244707f2524","seed-global-only-view","Seed case: rule defined elsewhere using non-current workspace objects","year >= 2000","Validity","corporate-banking","false","false","","true","charlie@jaccloud.nl","approver-user","approved","2026-03-26T09:15:00Z","","","","","rules/019e0488-9a55-71a1-977d-1244707f2524/dsl.json","","charlie@jaccloud.nl","corporate-admin@jaccloud.nl","dq-admin@jaccloud.nl"
